SITE CODE= 67016ó÷ìáésñÂëOí¨ëñèo        ,37.4962,137.2705,15.86,7.6,45292.67387,8.93,15.21
 LAT.=   37.2871,,,,,,,
 LON.=  136.7680,,,,,,,
 SAMPLING RATE= 100Hz,,,,,,,
 UNIT  = gal(cm/s/s),,,,,,,
INITIAL TIME = 2024 01 01 16 10 10,,,,,,,
 NS,EW,UD,,,,,
0.022,-0.009,-0.011,,,,,
0.021,-0.006,0,,,,,
0.019,-0.012,-0.001,,,,,
0.025,-0.019,-0.008,,,,,
0.029,-0.019,-0.007,,,,,
0.024,-0.024,-0.004,,,,,
0.017,-0.036,-0.009,,,,,
0.016,-0.043,-0.016,,,,,
0.018,-0.044,-0.013,,,,,
0.019,-0.042,-0.003,,,,,
0.018,-0.046,-0.005,,,,,
0.018,-0.059,-0.016,,,,,
0.015,-0.069,-0.017,,,,,
0.01,-0.066,-0.004,,,,,
0.008,-0.06,0.004,,,,,
0.005,-0.063,-0.004,,,,,
0.003,-0.064,-0.01,,,,,
0.009,-0.059,-0.004,,,,,
0.01,-0.059,0.001,,,,,
0.003,-0.061,0.002,,,,,
-0.001,-0.06,0.004,,,,,
-0.001,-0.062,0,,,,,
-0.004,-0.062,-0.008,,,,,
-0.008,-0.059,-0.012,,,,,
-0.01,-0.063,-0.014,,,,,
-0.008,-0.068,-0.014,,,,,
-0.009,-0.066,-0.012,,,,,
-0.01,-0.066,-0.011,,,,,
-0.011,-0.071,-0.014,,,,,
-0.014,-0.07,-0.014,,,,,
-0.013,-0.065,-0.01,,,,,
-0.007,-0.061,-0.008,,,,,
-0.004,-0.059,-0.008,,,,,
-0.004,-0.058,-0.005,,,,,
-0.007,-0.055,-0.003,,,,,
-0.011,-0.048,-0.007,,,,,
-0.01,-0.041,-0.009,,,,,
-0.007,-0.036,-0.005,,,,,
-0.005,-0.031,-0.004,,,,,
-0.008,-0.026,-0.005,,,,,
-0.013,-0.019,-0.006,,,,,
-0.013,-0.012,-0.009,,,,,
-0.014,-0.009,-0.01,,,,,
-0.019,-0.008,-0.007,,,,,
-0.025,-0.004,-0.007,,,,,
-0.031,0.005,-0.006,,,,,
-0.034,0.014,-0.004,,,,,
-0.034,0.013,-0.001,,,,,
-0.034,0.017,-0.002,,,,,
-0.037,0.029,-0.007,,,,,
-0.044,0.032,-0.007,,,,,
-0.052,0.029,-0.005,,,,,
-0.058,0.028,-0.002,,,,,
-0.06,0.035,0.003,,,,,
-0.056,0.045,0.002,,,,,
-0.049,0.048,-0.004,,,,,
-0.048,0.048,-0.008,,,,,
-0.056,0.051,-0.007,,,,,
-0.064,0.051,-0.001,,,,,
-0.061,0.049,-0.001,,,,,
-0.055,0.049,-0.005,,,,,
-0.053,0.048,-0.003,,,,,
-0.055,0.052,-0.004,,,,,
-0.053,0.056,-0.009,,,,,
-0.049,0.052,-0.009,,,,,
-0.048,0.053,-0.008,,,,,
-0.049,0.063,-0.007,,,,,
-0.046,0.063,-0.005,,,,,
-0.038,0.054,0.001,,,,,
-0.028,0.049,0.004,,,,,
-0.023,0.047,-0.001,,,,,
-0.022,0.047,-0.003,,,,,
-0.02,0.046,0.004,,,,,
-0.019,0.044,0.006,,,,,
-0.017,0.041,0.008,,,,,
-0.014,0.034,0.011,,,,,
-0.015,0.029,0.01,,,,,
-0.019,0.029,0.007,,,,,
-0.019,0.026,0.005,,,,,
-0.014,0.024,0.001,,,,,
-0.011,0.023,0.007,,,,,
-0.013,0.017,0.011,,,,,
-0.014,0.008,0.001,,,,,
-0.014,0.003,-0.002,,,,,
-0.012,0.004,0.005,,,,,
-0.01,0.007,0.004,,,,,
-0.009,0.003,-0.005,,,,,
-0.007,-0.008,-0.009,,,,,
-0.002,-0.011,-0.002,,,,,
0.001,-0.01,0.005,,,,,
0.002,-0.013,0.006,,,,,
0.006,-0.013,0.002,,,,,
0.01,-0.012,-0.001,,,,,
0.009,-0.013,-0.005,,,,,
0.007,-0.013,-0.007,,,,,
0.012,-0.011,0.003,,,,,
0.017,-0.016,0.014,,,,,
0.019,-0.025,0.008,,,,,
0.019,-0.021,0,,,,,
0.017,-0.013,0.002,,,,,
0.012,-0.015,0.002,,,,,
0.011,-0.021,0,,,,,
0.016,-0.018,0.002,,,,,
0.019,-0.011,0.007,,,,,
0.026,-0.011,0.009,,,,,
0.035,-0.021,0.007,,,,,
0.033,-0.028,0.002,,,,,
0.028,-0.022,0.001,,,,,
0.036,-0.016,0.005,,,,,
0.038,-0.016,0.011,,,,,
0.03,-0.019,0.014,,,,,
0.022,-0.02,0.013,,,,,
0.024,-0.019,0.005,,,,,
0.028,-0.019,0.002,,,,,
0.027,-0.023,0.008,,,,,
0.027,-0.025,0.01,,,,,
0.031,-0.021,0.01,,,,,
0.029,-0.015,0.011,,,,,
0.025,-0.013,0.005,,,,,
0.03,-0.015,0.002,,,,,
0.033,-0.018,0.013,,,,,
0.028,-0.015,0.019,,,,,
0.022,-0.011,0.009,,,,,
0.022,-0.013,0,,,,,
0.021,-0.015,0.001,,,,,
0.018,-0.009,0.002,,,,,
0.018,-0.005,-0.002,,,,,
0.016,-0.001,0,,,,,
0.013,0.002,0.01,,,,,
0.013,-0.001,0.011,,,,,
0.009,-0.002,0.007,,,,,
-0.002,0.005,0.005,,,,,
-0.004,0.015,0.01,,,,,
-0.001,0.015,0.011,,,,,
-0.004,0.008,0.007,,,,,
-0.011,0.009,0.002,,,,,
-0.015,0.019,0.005,,,,,
-0.01,0.024,0.009,,,,,
-0.006,0.023,0.009,,,,,
-0.01,0.028,0.011,,,,,
-0.011,0.032,0.012,,,,,
-0.005,0.03,0.004,,,,,
-0.006,0.026,-0.005,,,,,
-0.02,0.026,-0.003,,,,,
-0.028,0.031,0.005,,,,,
-0.021,0.035,0.004,,,,,
-0.02,0.031,0,,,,,
-0.022,0.026,0.002,,,,,
-0.019,0.029,0.006,,,,,
-0.013,0.034,0.005,,,,,
-0.013,0.03,0.005,,,,,
-0.013,0.024,0.005,,,,,
-0.01,0.025,0.004,,,,,
-0.008,0.024,0.005,,,,,
-0.007,0.021,0.008,,,,,
-0.005,0.025,0.009,,,,,
-0.008,0.032,0.008,,,,,
-0.008,0.033,0.004,,,,,
-0.002,0.026,0.002,,,,,
-0.001,0.02,0.005,,,,,
-0.004,0.016,0.003,,,,,
0.004,0.013,-0.004,,,,,
0.01,0.011,-0.004,,,,,
0.009,0.015,0,,,,,
0.018,0.022,0.001,,,,,
0.027,0.024,0.002,,,,,
0.026,0.019,0.004,,,,,
0.027,0.015,0.005,,,,,
0.032,0.013,0.004,,,,,
0.032,0.009,0.004,,,,,
0.024,0.008,0.002,,,,,
0.02,0.012,0.001,,,,,
0.028,0.018,0.005,,,,,
0.037,0.023,0.008,,,,,
0.036,0.02,0.004,,,,,
0.031,0.012,0.002,,,,,
0.033,0.009,0.002,,,,,
0.034,0.011,0,,,,,
0.031,0.007,-0.001,,,,,
0.028,-0.007,0,,,,,
0.025,-0.01,0.001,,,,,
0.023,0.001,-0.001,,,,,
0.025,0.002,-0.005,,,,,
0.028,-0.006,-0.008,,,,,
0.031,-0.006,-0.004,,,,,
0.034,-0.007,0.003,,,,,
0.037,-0.015,0.004,,,,,
0.033,-0.015,0.002,,,,,
0.026,-0.012,-0.003,,,,,
0.026,-0.015,-0.007,,,,,
0.028,-0.017,-0.006,,,,,
0.03,-0.016,-0.002,,,,,
0.031,-0.022,0.002,,,,,
0.028,-0.033,0.004,,,,,
0.021,-0.034,0.001,,,,,
0.017,-0.029,-0.004,,,,,
0.019,-0.031,-0.007,,,,,
0.019,-0.035,-0.003,,,,,
0.012,-0.031,0.003,,,,,
0.01,-0.028,0.008,,,,,
0.013,-0.032,0.007,,,,,
0.015,-0.03,0.001,,,,,
0.009,-0.031,0.003,,,,,
-0.001,-0.038,0.008,,,,,
-0.007,-0.038,0.005,,,,,
-0.008,-0.029,-0.001,,,,,
-0.01,-0.024,-0.004,,,,,
-0.012,-0.026,-0.004,,,,,
-0.015,-0.024,-0.001,,,,,
-0.017,-0.019,-0.001,,,,,
-0.023,-0.019,-0.005,,,,,
-0.029,-0.022,-0.007,,,,,
-0.028,-0.018,-0.006,,,,,
-0.025,-0.01,-0.005,,,,,
-0.026,-0.01,-0.005,,,,,
-0.03,-0.015,-0.007,,,,,
-0.032,-0.013,-0.005,,,,,
-0.031,-0.01,0.001,,,,,
-0.027,-0.008,0.001,,,,,
-0.027,-0.006,-0.005,,,,,
-0.028,-0.007,-0.008,,,,,
-0.025,-0.009,-0.002,,,,,
-0.019,-0.003,0.002,,,,,
-0.023,0.001,0,,,,,
-0.031,-0.004,-0.004,,,,,
-0.025,-0.003,-0.008,,,,,
-0.019,0.003,-0.013,,,,,
-0.017,0.008,-0.009,,,,,
-0.016,0.015,-0.002,,,,,
-0.014,0.018,-0.008,,,,,
-0.011,0.014,-0.018,,,,,
-0.014,0.012,-0.015,,,,,
-0.018,0.011,-0.011,,,,,
-0.016,0.007,-0.015,,,,,
-0.01,0.014,-0.013,,,,,
-0.008,0.022,-0.005,,,,,
-0.01,0.022,-0.008,,,,,
-0.011,0.024,-0.011,,,,,
-0.01,0.027,-0.004,,,,,
-0.004,0.029,0.002,,,,,
-0.004,0.034,-0.001,,,,,
-0.008,0.037,-0.006,,,,,
-0.007,0.034,-0.006,,,,,
-0.004,0.034,-0.005,,,,,
-0.003,0.04,-0.005,,,,,
-0.005,0.044,-0.005,,,,,
-0.007,0.044,-0.008,,,,,
-0.01,0.046,-0.014,,,,,
-0.011,0.047,-0.013,,,,,
-0.01,0.039,-0.007,,,,,
-0.006,0.028,-0.006,,,,,
-0.009,0.026,-0.008,,,,,
-0.014,0.027,-0.011,,,,,
-0.01,0.022,-0.015,,,,,
-0.006,0.019,-0.016,,,,,
-0.007,0.021,-0.016,,,,,
-0.006,0.021,-0.016,,,,,
-0.006,0.017,-0.013,,,,,
-0.013,0.015,-0.01,,,,,
-0.018,0.014,-0.011,,,,,
-0.016,0.006,-0.01,,,,,
-0.014,0,-0.005,,,,,
-0.016,0,-0.004,,,,,
-0.013,0.004,-0.009,,,,,
-0.01,0.004,-0.011,,,,,
-0.008,-0.001,-0.009,,,,,
-0.01,-0.005,-0.008,,,,,
-0.011,-0.008,-0.008,,,,,
-0.01,-0.009,-0.007,,,,,
-0.004,-0.009,-0.004,,,,,
0.001,-0.011,-0.004,,,,,
-0.002,-0.016,-0.004,,,,,
-0.004,-0.021,0.001,,,,,
-0.001,-0.021,0.001,,,,,
0.002,-0.021,-0.008,,,,,
-0.002,-0.023,-0.014,,,,,
-0.006,-0.024,-0.012,,,,,
-0.003,-0.021,-0.01,,,,,
0.002,-0.023,-0.009,,,,,
0.001,-0.028,-0.007,,,,,
